id,category,question
1,People,"What aspects do young people have strong opinions about? What aspects do old people have strong opinions about? Are there many young people who have strong opinions in our lives? Which is more important, listening to others or persuading others? Do you think we should only say something after thinking it through? Do you think it is good to have strong opinions?"
2,People,"Do you think doctors and nurses are very important? Who is more important, doctors or nurses? Do you think that doctors and nurses are not paid enough? Do you think it is necessary to learn first aid skills?"
3,People,Why are many people so keen on reading? Do you think parents should help their children develop the reading habit from an early age? ls reading for fun or for work? What reading topics are popular in your country? What are the differences between paper books and movies? Do you think people of all ages need to read?
4,People,Are traditional handicrafts important to tourism? What are the benefits for students to learn to make things by hand? Why do many children like to make things by hand? How important are traditional handicrafts to a country's industry? ls it reasonable to charge a high price for handmade things? How does modern technology change the handicraft industry?
5,People,"Do you follow the advice of your family members? Who should people ask for advice on big issues, family members or friends? Do people often ask for advice from professional people, like a lawyer? Why do some people like to ask others for advice on almost everything? Do you think the advice parents give their children is always good? Are professional consultancy services expensive in your country?"
6,People,"Do you think children are more likely to achieve their goals if they are encouraged? What should parents do if their children don¡¯t want to study? Who do you think should set goals for children? Who plays a more important role in children¡¯s education, parents or teachers? Is money the only motivation for people to work hard? Which is more important, competition or cooperation?"
7,People,"What are the differences between shopping in a shopping mall and in a street market? Which is more common in China, shopping malls or street markets? ls advertising important? What are the disadvantages of shopping in a street market?"
8,People,Should children be encouraged to learn from their peers? What difficulties or problems would introverted people face in work or study? How can a person be a good co-worker? How can people improve their collaboration skills? Do you think it is more important for an employee to keep good relationships with colleagues than just focus on the work?
9,People,What kinds of people are likely to be the role models for teenagers? ls it important for children to have a role model? Are there any differences between today¡¯s famous people and those of the past? What qualities do famous people have? Do people tend to choose the best people as their role models?
10,People,Do you think old people and young people can have common interests? What can old people teach young people? Is it easy for old people and young people to make friends with each other? Are there benefits when one person is interested in another person? Why? Do you think people are more selfish or self-centered now than in the past? What benefits can people get if they are self-centered?
11,People,How can children become happy? What?¡¥s the difference between adults?¡¥ and children?¡¥s happiness? Do you think everyone shares a similar definition of happiness?
12,People,Do you think being an actor is a good job? What can children learn from acting? Why do children love dressing up in costumes? What are the differences between actors or actresses who earn much and those who earn little? What are the differences between acting in a theatre and that in a film?
13,People,"Do you think children are important? What influence do parents have on the way their children develop? For parents, which do you think is better, to have one stalled or more than one? In your country, who takes more care of children? Parents or grandparents? What do you think about old people taking care of children?"
14,People,On what occasions do people want to make new friends? Where can people make new friends? Do you think it is difficult for foreigners to talk with Chinese? Why are some people unwilling to have conversations with others? Is it difficult for adults to talk with children?
15,People,What do you think about playing music for children in class? Would people?¡¥s shopping behaviour be affected in a shop with music? What do you think is the effect of background music in a film? Why are musical movies so popular?
16,People,How do you think schools should help children develop their talents? What do you think of talented people and Al? Have you ever had any experience with things related to Al? Do you think Al will replace human beings?
17,People,Should parents make decisions for their children? At what age should children start to make decisions? Why do most children find it difficult to make decisions? How can parents help children make decisions? Do you think parents are the best people to make decisions about their children?¡¥s education?
18,Object,What kinds of videos are most popular in your country? Are there many people who watch online videos a lot? Do you think people spend too much time on watching videos? Why? Why are so many young people obsessed with short videos? What are the advantages of online learning? Do you think online learning will replace face-to-face learning?
19,Object,Why do some people grow their own food these days? Is there any traditional food in your country? What can be the reasons that some young people prefer to have foreign food than having traditional food? Which food is generally popular in your country? Will there be more and more people planting food in the future?
